County,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
Adams,-1.75,,-2.0,-1.5,,,,,,,,
Alamosa,-2.6666666666666665,,-3.0,,-3.0,-3.0,-3.0,,,,,
Arapahoe,,,-2.0,-3.0,,,,,,,,
Archuleta,-3.0,,,,,,,,,,,
Bent,,,,,,-3.0,-3.0,,,,,
Boulder,-1.5,-0.5,-1.0,-1.0,0.0,-1.0,,-1.0,,,,
Chaffee,,,,,,-3.0,,,,,,
Clear Creek,,-2.0,,,,,,,,,,
Costilla,-3.0,-3.0,,,,,,,,,,
Crowley,,,-2.0,-2.6,-3.0,-3.0,-3.0,-2.5,-2.0,-2.0,-2.5,-2.0
Custer,,,,,,,2.0,,,,,
Delta,-2.0,,,,,,,,,,,
Douglas,-2.0,-1.0,-1.5,-1.5,-0.3333333333333333,-2.0,-2.1666666666666665,-1.0,-1.8,-1.5,-0.8333333333333334,-1.25
Eagle,-1.4,-1.5,-3.0,-2.0,-2.0,,-3.0,-3.0,-3.0,-3.0,,-3.0
El Paso,-2.0,-2.25,-2.125,-2.0,-2.0,-2.0,,,,,,
Elbert,-2.25,-2.0,-2.3333333333333335,-2.0,-2.0,-2.0,0.0,,,-2.0,,
Garfield,-3.0,,,,,,,,-2.0,2.0,,
Grand,-2.0,-1.5,-0.8,-1.25,-1.25,-2.0,-2.75,-2.75,-2.6,-1.75,-1.75,-1.5
Gunnison,-2.5714285714285716,-2.5,-3.0,-2.6666666666666665,-3.0,-3.0,-2.5,-2.4,-3.0,-2.2,-2.25,-2.6
Huerfano,-2.2857142857142856,-2.2,-2.8333333333333335,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0
Jefferson,-1.0,-2.6666666666666665,-3.0,-1.0,0.0,,-1.8,-2.5,-2.0,-2.0,,-2.0
Kiowa,,,,,-3.0,-3.0,,,,,,
Kit Carson,,-2.0,,,,,,,,,,
La Plata,-2.4545454545454546,-2.2222222222222223,-2.2,-2.6,-2.7142857142857144,-2.6666666666666665,-2.142857142857143,-2.75,-2.5555555555555554,-2.4,-2.5,-3.0
Lake,,-2.0,,,,,,,-3.0,,,
Larimer,-1.1666666666666667,-0.23809523809523808,-1.1875,-1.3888888888888888,0.6923076923076923,-1.3636363636363635,-0.47058823529411764,-1.3333333333333333,-1.9285714285714286,-1.625,-1.5714285714285714,-1.9166666666666667
Las Animas,-2.0,,,,,,,,,,,
Logan,,,-2.0,,,,,,,,,
Mesa,-1.8666666666666667,-1.0,-2.0,-1.5,-1.8571428571428572,-2.5,-2.8333333333333335,-3.0,,-2.0,,
Moffat,-1.0,-1.5,-1.6666666666666667,-1.3333333333333333,-0.25,-2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
Montezuma,-3.0,,,,,,1.0,,,,,
Montrose,-2.6666666666666665,,,-2.0,,,,,,,,
Morgan,,,,,,,-2.0,,,,,
Otero,,-2.0,-3.0,,,,,,,,,
Pueblo,-1.75,-2.0,-2.0,-2.0,-3.0,,,,,,,
Rio Grande,-2.6666666666666665,-2.75,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.25,-2.0,,
Routt,,-3.0,,,,,,,,,,
Saguache,-2.3333333333333335,-3.0,-3.0,,,-3.0,-3.0,,,,,
San Miguel,,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,,-3.0,
Summit,,,,,,,,-3.0,,,,
Washington,-2.0,-2.3333333333333335,-2.6666666666666665,-2.5,,-3.0,-2.0,,,,,
Weld,-1.6,-0.6666666666666666,-0.6470588235294118,-0.7058823529411765,0.07692307692307693,-0.8461538461538461,-1.2857142857142858,-1.3636363636363635,-1.9375,-1.0,-1.1111111111111112,-1.8461538461538463
Yuma,,,-0.5,,,,,,,,,
